"RULE : 1. buy at the close when price is 2% above the 20-EMA on the monthly, weekly AND daily timeframes. 2. stop loss = the entry day's low. 3. sell when the stop is hit, or when the close falls 2% below any of the three EMAs, whichever comes first.",,,,,,,,,,
Capital,100000,Risk %,1%,,,,,,,
,,,,,,,,,,
Trade #,Date,Entry Price,Stop Loss,Exit,No. of Shares,Cost of Entry,Cum Cost,Profit,Cum Profit,Column 1
1,2026-07-10,4506.80,4396.00,4396.00,9,"40,561.20","40,561.20",-997.20,-997.20,-110.8
2,2026-06-17,4460.50,4270.00,4270.00,5,"22,302.50","62,863.70",-952.50,"-1,949.70",-190.5
3,2026-04-15,4239.20,4147.00,4326.50,10,"42,392.00","105,255.70",873.00,"-1,076.70",87.3
4,2026-01-28,4624.00,4361.50,4361.50,3,"13,872.00","119,127.70",-787.50,"-1,864.20",-262.5
5,2025-11-11,4862.60,4787.00,4787.00,13,"63,213.80","182,341.50",-982.80,"-2,847.00",-75.6
6,2025-09-12,4745.60,4581.20,4650.20,6,"28,473.60","210,815.10",-572.40,"-3,419.40",-95.4
7,2025-04-11,4107.20,4066.65,4792.70,24,"98,572.80","309,387.90","16,452.00","13,032.60",685.5
8,2025-04-08,4041.95,4000.00,4000.00,23,"92,964.85","402,352.75",-964.85,"12,067.75",-41.95
9,2025-03-24,4129.80,3940.20,3821.00,5,"20,649.00","423,001.75","-1,544.00","10,523.75",-308.8
10,2024-12-03,4518.85,4481.40,4481.40,22,"99,414.70","522,416.45",-823.90,"9,699.85",-37.45
11,2024-10-16,4656.25,4600.00,4600.00,17,"79,156.25","601,572.70",-956.25,"8,743.60",-56.25
12,2024-06-07,4745.15,4550.00,5015.75,5,"23,725.75","625,298.45","1,353.00","10,096.60",270.6
13,2024-03-26,3300.80,3180.00,4333.35,8,"26,406.40","651,704.85","8,260.40","18,357.00",1032.55
14,2024-02-23,3045.50,3006.00,3039.50,25,"76,137.50","727,842.35",-150.00,"18,207.00",-6
15,2024-02-15,3023.20,2983.15,2983.15,24,"72,556.80","800,399.15",-961.20,"17,245.80",-40.05
16,2023-11-06,1934.75,1908.00,2846.05,37,"71,585.75","871,984.90","33,718.10","50,963.90",911.3
17,2023-09-06,1994.70,1975.50,1975.50,50,"99,735.00","971,719.90",-960.00,"50,003.90",-19.2
18,2023-08-23,2015.55,1947.70,1947.70,14,"28,217.70","999,937.60",-949.90,"49,054.00",-67.85
19,2023-08-16,1950.10,1915.50,1915.50,28,"54,602.80","1,054,540.40",-968.80,"48,085.20",-34.6
20,2023-04-06,1383.90,1356.45,1869.90,36,"49,820.40","1,104,360.80","17,496.00","65,581.20",486
21,2023-03-31,1365.55,1358.30,1358.30,73,"99,685.15","1,204,045.95",-529.25,"65,051.95",-7.25
22,2023-02-16,1332.70,1242.50,1312.40,11,"14,659.70","1,218,705.65",-223.30,"64,828.65",-20.3
23,2022-10-18,1239.00,1180.00,1301.90,16,"19,824.00","1,238,529.65","1,006.40","65,835.05",62.9
24,2022-10-06,1238.00,1185.25,1185.25,18,"22,284.00","1,260,813.65",-949.50,"64,885.55",-52.75
25,2022-07-19,912.05,887.50,1169.80,40,"36,482.00","1,297,295.65","10,310.00","75,195.55",257.75
,,,,,,,,,,
,,,,,,,,No. of Profits,8.00,
,,,,,,,,No. of Losses,17.00,
,,,,,,,,Total Transactions,25.00,
,,,,,,,,Avg Profit,5262.876471,
,,,,,,,,Avg Loss,-1784.16875,
,,,3483.95,,,,,Efficiency,470.8857206,
,,,,,,,,,,
,,,,,,,,,,2366.65
,,,,,,,,,,
,,,,,,,,67.93%,,
