"RULE : 1. buy at the close when price is 2% above the 20-EMA on the monthly, weekly AND daily timeframes. 2. stop loss = the entry day's low. 3. sell when the stop is hit, or when the close falls 2% below any of the three EMAs, whichever comes first. Re-run from scratch on MANAPPURAM (NSE) over the DI window; stop is a live order that fills at the stop price (the convention that reproduces the HAL reference sheet 25/25)."
Capital,100000,Risk %,1%

Trade #,Date,Entry Price,Stop Loss,Exit,No. of Shares,Cost of Entry,Cum Cost,Profit,Cum Profit,
1,2026-08-24,365.05,358.3,358.3,148,54027.4,54027.4,-999,-999,-6.75
2,2026-06-30,324.2,313,340,89,28853.8,82881.2,1406.2,407.2,15.8
3,2026-06-15,317.65,310.05,310.05,131,41612.15,124493.35,-995.6,-588.4,-7.6
4,2026-04-21,281.8,270.1,299.2,85,23953,148446.35,1479,890.6,17.4
5,2026-02-06,300.9,284.2,293.05,59,17753.1,166199.45,-463.15,427.45,-7.85
6,2026-01-13,308.05,293,293,66,20331.3,186530.75,-993.3,-565.85,-15.05
7,2025-12-19,292.65,284.75,284.75,126,36873.9,223404.65,-995.4,-1561.25,-7.9
8,2025-12-12,287.6,283,283,217,62409.2,285813.85,-998.2,-2559.45,-4.6
9,2025-11-26,287.8,279.45,279.45,119,34248.2,320062.05,-993.65,-3553.1,-8.35
10,2025-10-06,290.75,283.9,283.9,145,42158.75,362220.8,-993.25,-4546.35,-6.85
11,2025-08-14,266,258.7,276.9,136,36176,398396.8,1482.4,-3063.95,10.9
12,2025-02-19,202.76,187.25,261.5,64,12976.64,411373.44,3759.36,695.41,58.74
13,2025-01-28,190.98,185.54,185.54,183,34949.34,446322.78,-995.52,-300.11,-5.44
14,2025-01-17,193.75,182.91,182.91,92,17825,464147.78,-997.28,-1297.39,-10.84
15,2024-12-13,182.06,171.85,171.85,97,17659.82,481807.6,-990.37,-2287.76,-10.21
16,2024-09-16,213.55,210.37,210.37,314,67054.7,548862.3,-998.52,-3286.28,-3.18
17,2024-08-21,211.78,208.75,208.75,330,69887.4,618749.7,-999.9,-4286.18,-3.03
18,2024-06-12,184.69,181.16,202.73,283,52267.27,671016.97,5105.32,819.14,18.04
19,2024-04-01,181.9,175,185.65,144,26193.6,697210.57,540,1359.14,3.75
20,2024-03-05,186.3,185.65,185.65,536,99856.8,797067.37,-348.4,1010.74,-0.65
21,2024-02-15,186.2,183.6,183.6,384,71500.8,868568.17,-998.4,12.34,-2.6
22,2024-01-25,178,173.95,174.9,246,43788,912356.17,-762.6,-750.26,-3.1
23,2023-11-28,151.5,150.2,168.3,660,99990,1012346.17,11088,10337.74,16.8
24,2023-11-15,150.5,149.5,149.5,664,99932,1112278.17,-664,9673.74,-1
25,2023-11-06,142.8,139.2,139.2,277,39555.6,1151833.77,-997.2,8676.54,-3.6
26,2023-09-27,147.1,140.85,140.85,160,23536,1175369.77,-1000,7676.54,-6.25
27,2023-07-25,130.1,126.2,138.35,256,33305.6,1208675.37,2112,9788.54,8.25
28,2023-06-16,125.2,119.05,123.65,162,20282.4,1228957.77,-251.1,9537.44,-1.55
29,2023-04-24,128,125.1,125.1,344,44032,1272989.77,-997.6,8539.84,-2.9
30,2023-04-03,125.3,123.6,123.6,588,73676.4,1346666.17,-999.6,7540.24,-1.7
31,2021-10-01,179.55,169.4,197.1,98,17595.9,1364262.07,1719.9,9260.14,17.55
32,2021-09-23,174,171.55,171.55,408,70992,1435254.07,-999.6,8260.54,-2.45
33,2021-05-31,162.9,156.35,191.5,152,24760.8,1460014.87,4347.2,12607.74,28.6
34,2021-02-25,179.25,172.55,172.55,149,26708.25,1486723.12,-998.3,11609.44,-6.7
35,2021-02-02,169.75,166.15,166.15,277,47020.75,1533743.87,-997.2,10612.24,-3.6
36,2021-01-04,172.05,168.7,168.7,298,51270.9,1585014.77,-998.3,9613.94,-3.35
37,2020-11-13,163.65,158.15,162.1,181,29620.65,1614635.42,-280.55,9333.39,-1.55
38,2020-09-28,156.7,153.2,157.25,285,44659.5,1659294.92,156.75,9490.14,0.55
39,2020-09-11,157.25,146.05,146.05,89,13995.25,1673290.17,-996.8,8493.34,-11.2
40,2020-07-16,160.8,151.95,158.5,112,18009.6,1691299.77,-257.6,8235.74,-2.3
41,2020-06-03,137.15,134,134,317,43476.55,1734776.32,-998.55,7237.19,-3.15
42,2020-02-25,177.9,175.15,175.15,363,64577.7,1799354.02,-998.25,6238.94,-2.75
43,2019-12-11,165.9,156.15,172.7,102,16921.8,1816275.82,693.6,6932.54,6.8
44,2019-09-20,127.75,119.35,154.4,119,15202.25,1831478.07,3171.35,10103.89,26.65
45,2019-09-18,124.8,123.15,123.15,606,75628.8,1907106.87,-999.9,9103.99,-1.65
46,2019-09-11,125.5,123.95,123.95,645,80947.5,1988054.37,-999.75,8104.24,-1.55
47,2019-07-16,136.55,127.2,129.25,106,14474.3,2002528.67,-773.8,7330.44,-7.3
48,2019-06-25,141.25,132,132,108,15255,2017783.67,-999,6331.44,-9.25
49,2019-05-14,120.85,112.5,131.45,119,14381.15,2032164.82,1261.4,7592.84,10.6
50,2019-02-06,96.9,90.65,118.35,160,15504,2047668.82,3432,11024.84,21.45
51,2019-01-08,96.45,94,94,408,39351.6,2087020.42,-999.6,10025.24,-2.45
52,2018-08-02,109.45,104.2,104.2,190,20795.5,2107815.92,-997.5,9027.74,-5.25
53,2018-03-27,110.2,108.2,115.1,500,55100,2162915.92,2450,11477.74,4.9
54,2017-12-19,104.9,101.7,113.5,312,32728.8,2195644.72,2683.2,14160.94,8.6
55,2017-11-16,103.85,95.1,100.1,114,11838.9,2207483.62,-427.5,13733.44,-3.75
56,2017-10-13,104.65,102.4,102.4,444,46464.6,2253948.22,-999,12734.44,-2.25
57,2017-10-09,104.1,100.5,100.5,277,28835.7,2282783.92,-997.2,11737.24,-3.6
58,2017-08-31,99.3,94.8,99.55,222,22044.6,2304828.52,55.5,11792.74,0.25
59,2017-06-29,97.8,94.35,98.7,289,28264.2,2333092.72,260.1,12052.84,0.9
60,2017-06-22,97.25,94.2,94.2,327,31800.75,2364893.47,-997.35,11055.49,-3.05
61,2017-06-19,94.25,93.7,93.7,1061,99999.25,2464892.72,-583.55,10471.94,-0.55
62,2017-06-14,94.55,92.55,92.55,500,47275,2512167.72,-1000,9471.94,-2
63,2017-06-08,94.5,92.15,92.15,425,40162.5,2552330.22,-998.75,8473.19,-2.35
64,2017-05-10,96.95,94.05,94.05,344,33350.8,2585681.02,-997.6,7475.59,-2.9
65,2017-04-20,97.1,93,93,243,23595.3,2609276.32,-996.3,6479.29,-4.1
66,2017-03-24,96.8,94,94,357,34557.6,2643833.92,-999.6,5479.69,-2.8
67,2017-01-16,78.55,74.1,90.5,224,17595.2,2661429.12,2676.8,8156.49,11.95
68,2016-11-10,102.1,98.6,98.6,285,29098.5,2690527.62,-997.5,7158.99,-3.5
69,2016-10-17,96.9,93.8,87,322,31201.8,2721729.42,-3187.8,3971.19,-9.9
70,2016-09-02,87.25,83.65,89,277,24168.25,2745897.67,484.75,4455.94,1.75
71,2016-03-01,31.3,30.4,81.3,1111,34774.3,2780671.97,55550,60005.94,50
72,2016-02-26,30.8,30.05,30.05,1333,41056.4,2821728.37,-999.75,59006.19,-0.75
73,2016-02-15,31.8,30.2,30.2,624,19843.2,2841571.57,-998.4,58007.79,-1.6
74,2016-01-29,28.6,27.1,27.1,666,19047.6,2860619.17,-999,57008.79,-1.5
75,2015-12-14,28.35,25.9,27.75,408,11566.8,2872185.97,-244.8,56763.99,-0.6
76,2015-04-29,34.9,34.15,34.15,1333,46521.7,2918707.67,-999.75,55764.24,-0.75
77,2015-04-23,34.7,34.04,34.04,1515,52570.5,2971278.17,-999.9,54764.34,-0.66
78,2015-04-08,34.65,33.79,33.79,1162,40263.3,3011541.47,-999.32,53765.02,-0.86
79,2015-02-04,34.4,33,33.7,714,24561.6,3036103.07,-499.8,53265.22,-0.7
80,2014-12-31,34.1,32.7,32.7,714,24347.4,3060450.47,-999.6,52265.62,-1.4
81,2014-10-22,28.9,27.2,34.7,588,16993.2,3077443.67,3410.4,55676.02,5.8
82,2014-08-19,26.4,22.15,26.55,235,6204,3083647.67,35.25,55711.27,0.15
83,2014-07-07,24.5,24,24,2000,49000,3132647.67,-1000,54711.27,-0.5
84,2014-05-13,24.55,22.75,22.75,555,13625.25,3146272.92,-999,53712.27,-1.8
85,2013-01-28,43.4,40,40,294,12759.6,3159032.52,-999.6,52712.67,-3.4
86,2013-01-04,43.3,41.1,41.1,454,19658.2,3178690.72,-998.8,51713.87,-2.2
87,2012-01-31,57,55.45,54.1,645,36765,3215455.72,-1870.5,49843.37,-2.9
88,2012-01-27,55.65,55.1,55.1,1796,99947.4,3315403.12,-987.8,48855.57,-0.55
89,2012-01-13,55.55,54.1,54.1,689,38273.95,3353677.07,-999.05,47856.52,-1.45
90,2011-12-01,59.15,58,58,869,51401.35,3405078.42,-999.35,46857.17,-1.15
91,2011-10-14,56.45,55.8,56.75,1538,86820.1,3491898.52,461.4,47318.57,0.3
92,2011-09-16,57.2,53.2,54.4,250,14300,3506198.52,-700,46618.57,-2.8
93,2011-09-05,58,54,54,250,14500,3520698.52,-1000,45618.57,-4
94,2011-05-05,66.58,65.5,65.5,925,61586.5,3582285.02,-999,44619.57,-1.08
95,2011-04-20,66.25,63.4,63.4,350,23187.5,3605472.52,-997.5,43622.07,-2.85
96,2011-04-15,64.78,62.77,62.77,497,32195.66,3637668.18,-998.97,42623.1,-2.01
97,2011-03-31,66.4,63.75,63.75,377,25032.8,3662700.98,-999.05,41624.05,-2.65
98,2011-01-20,71.38,69.25,69.25,469,33477.22,3696178.2,-998.97,40625.08,-2.13
