Symbol,ISIN,Company Name,Board,Delisted Date,Type
CABOTINDIA,INE144B01016,Cabot India Ltd,Main Board,2002-04-15,Voluntary Delisting
TOLANIBULK,INE051C01011,Tolani Bulk Carriers Ltd,Main Board,2002-04-15,Voluntary Delisting
HOGANAS,INE132A01013,Hoganas India Ltd,Main Board,2002-08-07,Voluntary Delisting
INFARINDIA,INE568A01018,Infar (India) Ltd.,Main Board,2002-10-11,Voluntary Delisting
CADBURY,INE184A01014,Cadbury India Limited,Main Board,2003-02-07,Voluntary Delisting
SRIVISHCEM,INE286B01015,Sri Vishnu Cement Ltd,Main Board,2003-03-10,Voluntary Delisting
MADURACOAT,INE122A01014,Madura Coats Limited,Main Board,2003-04-25,Voluntary Delisting
RECKCOLMAN,INE274A01013,Reckitt Benckiser (India) Ltd,Main Board,2003-05-12,Voluntary Delisting
BHARATHOT,INE466A01015,Bharat Hotels Limited,Main Board,2003-06-17,Voluntary Delisting
OTIS,INE099A01014,OTIS Elevator Company Ltd,Main Board,2003-06-17,Voluntary Delisting
INVELTRANS,INE527A01014,GKN Driveshafts (India) Limited,Main Board,2003-07-29,Voluntary Delisting
INDAL,INE249A01015,Indian Aluminium Co. Ltd.,Main Board,2004-04-08,Voluntary Delisting
DIGITALEQP,INE124A01010,Digital GlobalSoft Ltd.,Main Board,2004-04-15,Voluntary Delisting
ANIKSHIP,INE445701019,Anik Ship Breaking Industries Ltd.,Main Board,2004-07-26,Compulsory Delisting
BHARATPIPE,INE028301013,Bharat Pipes and Fittings Ltd,Main Board,2004-07-26,Compulsory Delisting
CRBCAPS,INE056701019,CRB Capital Markets Ltd,Main Board,2004-07-26,Compulsory Delisting
CRBCORP,INE056901015,CRB Corporation Ltd,Main Board,2004-07-26,Compulsory Delisting
GRMAGNET,INE523A01013,GR Magnets Ltd.,Main Board,2004-07-26,Compulsory Delisting
KAMALOVER,Not Available,Kamal Overseas Ltd.,Main Board,2004-07-26,Compulsory Delisting
KEDIADIST,INE129401019,Kedia Distilleries Ltd.,Main Board,2004-07-26,Compulsory Delisting
MARUTIORGN,INE188101013,Maruti Organics Limited,Main Board,2004-07-26,Compulsory Delisting
MRINALDYE,INE203201012,Mrinal Dyeing & Manufacturing Co. Ltd,Main Board,2004-07-26,Compulsory Delisting
PANASIAIND,INE230801016,Pan Asia Industries Ltd,Main Board,2004-07-26,Compulsory Delisting
REALVALAPL,INE980C01011,Real Value Appliance Ltd.,Main Board,2004-07-26,Compulsory Delisting
SHIVLOHMIL,INE294201012,Shivalik Loha Mills Ltd.,Main Board,2004-07-26,Compulsory Delisting
WESTINDIA,INE304901015,Western India Industries Ltd,Main Board,2004-07-26,Compulsory Delisting
WESTNPAQUE,INE305101011,Western Paques (India) Ltd,Main Board,2004-07-26,Compulsory Delisting
E-SERVEINT,INE784A01011,e-Serve International Limited,Main Board,2004-12-22,Voluntary Delisting
INDGYPSUM,INE561A01013,India Gypsum Ltd,Main Board,2005-01-12,Voluntary Delisting
HINDSPG,INE066D01017,Hindoostan Spinning and Weaving Mills Ltd,Main Board,2005-04-05,Voluntary Delisting
GFL,INE868A01020,Godrej Foods Limited,Main Board,2005-04-19,Voluntary Delisting
ABGHEAVY,INE580C01019,ABG Heavy Industries Ltd,Main Board,2005-07-21,Voluntary Delisting
WIMCOLTD,INE333A01025,Wimco Limited,Main Board,2005-12-14,Voluntary Delisting
POLYCHEM,INE752B01016,Polychem Ltd,Main Board,2005-12-27,Voluntary Delisting
DATTMEDI,INE480E01018,Datt Mediproducts Limited,Main Board,2006-01-23,Voluntary Delisting
FSS,INE801A01021,Flextronics Software Systems Limited,Main Board,2006-02-10,Voluntary Delisting
INTEGENT,INE227A01011,Integrated Enterprises (India) Limited,Main Board,2006-05-29,Voluntary Delisting
ADITYAINTL,INE908B01014,Aditya International Ltd.,Main Board,2007-02-12,Voluntary Delisting
EICHER,INE065A01023,Eicher Limited,Main Board,2007-03-13,Voluntary Delisting
YOKOGAWA,INE718A01019,Yokogawa India Limited,Main Board,2007-05-10,Voluntary Delisting
WARTSILA,INE057A01012,Wartsila India Ltd,Main Board,2007-06-19,Voluntary Delisting
